study_accession	experiment_accession	experiment_title	sample_taxon_id	sample_scientific_name	experiment_library_strategy	experiment_library_source	experiment_library_selection	sample_accession	sample_alias	experiment_instrument_model	pool_member_spots	run_1_size	run_1_accession	run_1_total_spots	run_1_total_bases
SRP045894	SRX689917	GSM1493827: AGO2IP_CMV-Δ2b; Arabidopsis thaliana; RIP-Seq	3702	Arabidopsis thaliana	RIP-Seq	TRANSCRIPTOMIC	other	SRS692438	GSM1493827	Illumina HiSeq 2000	3236795	90251347	SRR1561613	3236795	129471800
SRP045894	SRX689916	GSM1493826: AGO2IP_mock; Arabidopsis thaliana; RIP-Seq	3702	Arabidopsis thaliana	RIP-Seq	TRANSCRIPTOMIC	other	SRS692437	GSM1493826	Illumina HiSeq 2000	832749	25192262	SRR1561612	832749	33309960
SRP045894	SRX689915	GSM1493825: AGO1IP_CMV-Δ2b; Arabidopsis thaliana; RIP-Seq	3702	Arabidopsis thaliana	RIP-Seq	TRANSCRIPTOMIC	other	SRS692436	GSM1493825	Illumina HiSeq 2000	6668379	203156190	SRR1561611	6668379	266735160
SRP045894	SRX689914	GSM1493824: AGO1IP_mock; Arabidopsis thaliana; RIP-Seq	3702	Arabidopsis thaliana	RIP-Seq	TRANSCRIPTOMIC	other	SRS692435	GSM1493824	Illumina HiSeq 2000	749665	22171004	SRR1561610	749665	29986600
SRP045894	SRX689913	GSM1493823: rdr6_TuMV; Arabidopsis thaliana; ncRNA-Seq	3702	Arabidopsis thaliana	ncRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS692434	GSM1493823	Illumina HiSeq 2000	14651902	467418705	SRR1561609	14651902	747247002
SRP045894	SRX689912	GSM1493822: rdr1_TuMV; Arabidopsis thaliana; ncRNA-Seq	3702	Arabidopsis thaliana	ncRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS692433	GSM1493822	Illumina HiSeq 2000	17632930	565132756	SRR1561608	17632930	899279430
SRP045894	SRX689911	GSM1493821: WT_TuMV; Arabidopsis thaliana; ncRNA-Seq	3702	Arabidopsis thaliana	ncRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS692432	GSM1493821	Illumina HiSeq 2000	15841206	515484790	SRR1561607	15841206	807901506
SRP045894	SRX689910	GSM1493820: rdr16_CMV-Δ2b; Arabidopsis thaliana; ncRNA-Seq	3702	Arabidopsis thaliana	ncRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS692431	GSM1493820	Illumina HiSeq 2000	4813129	121946537	SRR1561606	4813129	192525160
SRP045894	SRX689909	GSM1493819: WT_mock; Arabidopsis thaliana; ncRNA-Seq	3702	Arabidopsis thaliana	ncRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS692430	GSM1493819	Illumina HiSeq 2000	6657035	231576999	SRR1561605	6657035	339508785
SRP044763	SRX660337	GSM1443864: Coinfection_RNA-seq; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS665336	GSM1443864	Illumina HiSeq 2000	32703328	1508961598	SRR1523612	32703328	1635166400
